AÑO,7160,7169,7177,7195,27042,27070
1965,70.7,652,248.5,ND,180.4,ND
1966,109.5,115,100,ND,96.4,ND
1967,97.5,229,695.1,ND,294.7,ND
1968,103,116,84.5,ND,221.6,ND
1969,51.3,144,387,ND,177.3,ND
1970,108.1,117,128,ND,141.4,ND
1971,58.5,110,112.5,ND,119.2,ND
1972,69.9,128,65,137,165.4,ND
1973,85.5,252,84,164.5,227.6,ND
1974,80,212,629,132.8,231.5,661.6
1975,98,180,160,146,303.3,241
1976,70.5,121,107,100,340,198
1977,80,110,60.5,92.5,173.3,300
1978,80.5,705,102.4,496.4,314.7,251.3
1979,66.5,111,70.9,105.6,1105.7,200
1980,279.2,105,45,95.5,199.1,158.6
1981,70,638,60,80,242.8,220.4
1982,80,100,64,60,225.3,141.9
1983,382.5,139,80,80.3,97.6,188.3
1984,85.5,103,77,378.7,92.1,276.4
1985,59,125,83,32,152.3,147
1986,417,145,ND,ND,185.6,282.1
1987,249.2,150,ND,ND,150.5,142.6
1988,393,715,466.5,477.5,141.6,103.2
1989,70,953,282,100,204.8,233.8
1990,291,170,120,178,275.4,262
1991,120.5,131,105,80,120.1,133.7
1992,135.5,120,120,104.5,256.5,159.9
1993,98,148,243.5,65,343.9,176.4
1994,150,92,71,110,144.4,168.9
1995,180,87,303.03,93.7,170.3,141.9
1996,130,133,134,99,250,180.4
1997,570,220,ND,220,150.4,136.5
1998,112.5,ND,ND,60.8,129.5,574.8
1999,100,ND,ND,88,149,135.2
2000,554,ND,ND,99,294.5,112.3
2001,134,ND,ND,428.4,1159.1,167.3
2002,101.5,ND,ND,ND,947.7,141
2003,94,ND,ND,ND,1123,190
2004,76.5,ND,ND,ND,166,131.8
2005,60.5,ND,ND,ND,611.2,102.6
2006,83,ND,ND,ND,152,146
2007,209,ND,ND,ND,883.2,317
2008,126,ND,ND,ND,913.5,902.1
2009,104.2,ND,ND,ND,717.8,97.2
2010,160.3,ND,ND,ND,138.2,146.3
2011,414.8,529.8,ND,ND,140.6,123.5
2012,100.1,380.3,ND,ND,987.4,140
2013,65.1,160,124.8,110.7,541.7,133.5
2014,74.2,160,104.7,119,890.2,215
2015,86.5,282.4,79.1,103.6,813.8,209.1
2016,53.7,ND,123.9,102,876.3,673.8
2017,57.7,ND,188.9,ND,1230.5,1030.7
2018,35.6,354.1,530.7,ND,889.5,259.2
2019,352.1,109.2,129.4,335.4,574.4,660.3
2020,125.8,878.1,73.5,ND,1000.7,297.7
2021,78.9,486.6,ND,ND,957.6,141.1
